date,diff
16775,-0.00442056
16776,0.006142632
16777,0.012552496
16778,-0.007843343
16779,0.005133032
16780,-6.28E-05
16781,-0.000754772
16782,0.000937281
16783,-0.006571775
16784,-0.002319483
16785,-0.007205008
16786,0.00337557
16787,-3.66E-05
16788,-0.000224339
16789,0.00481402
16790,0.003950414
16791,-0.004355194
16792,0.005664333
16793,0.000644908
16794,0
16795,-6.62E-05
16796,-8.06E-05
16797,-0.004502068
16798,-5.97E-06
16799,-0.006744304
16800,0
16801,0.000116735
16802,0.000676139
16803,-0.003525996
16804,-0.007852742
16805,0.002686613
16806,0.014536133
16807,3.58E-05
16808,-7.52E-05
16809,0.000698574
16810,-0.006985905
16811,-0.000876976
16812,0.002526315
16813,-0.001126488
16814,0.004716503
16815,1.19E-05
16816,0.00019657
16817,-0.002513132
16818,0.001912923
16819,-0.001918853
16820,-0.002186245
16821,-0.007138635
16822,0
16823,-0.000196989
16824,0.005468842
16825,0.001552647
16826,0.003471437
16827,0.003966234
16828,-0.010923433
16829,0
16830,-2.93E-05
16831,0.005992932
16832,0.003369158
16833,0.016138799
16834,0.011676834
16835,-0.004295306
16836,0
16837,-0.000711855
16838,0.004652136
16839,0.009012469
16840,-0.000784468
16841,0.003774397
16842,-0.006301202
16843,1.27E-05
16844,-0.000943076
16845,-0.008734731
16846,-0.00163137
16847,-0.001643939
16848,-0.001774852
16849,0.002225646
16850,-6.19E-06
16851,-0.000875237
16852,-0.009314995
16853,-0.000920011
16854,-0.000341119
16855,0.000745638
16856,-0.009124245
16857,0
16858,-0.00054115
16859,-0.004709049
16860,-0.001463487
16861,0.000233799
16862,0.008328368
16863,0.005602525
16864,-0.000127196
16865,-0.001032227
16866,0.001938987
16867,-0.000580838
16868,-0.000975979
16869,0.017989126
16870,-0.003118067
16871,0.000249849
16872,0.001238468
16873,-0.005941883
16874,0.000395884
16875,0.010563967
16876,0.010265971
16877,-0.0045248
16878,-6.22E-05
16879,0.000323961
16880,-0.003137744
16881,-0.002500414
16882,-0.003290369
16883,-0.00051882
16884,-0.001185851
16885,1.25E-05
16886,-0.000440006
16887,0.003512235
16888,0.009172378
16889,0.004317768
16890,0.00477037
16891,0.001327695
16892,0
16893,-9.73E-05
16894,-0.000251731
16895,-0.000696221
16896,0.001340043
16897,-0.00231229
16898,0.002540918
16899,0
16900,0.000734568
16901,0.000231618
16902,-0.00231584
16903,-0.010598024
16904,-0.001475079
16905,0.001940892
16906,0
16907,0.000811637
16908,0.001840373
16909,0.004673072
16910,-0.0056585
16911,-0.001239885
